time,latitude,longitude,depth,mag,magType,place,year,month
2024-12-21 15:30:53.399000+00:00,-17.7041,168.0033,47.0,6.1,mww,"33 km W of Port-Vila, Vanuatu",2024,12
2024-12-17 01:47:25.741000+00:00,-17.6914,168.0842,54.372,7.3,mww,"24 km WNW of Port-Vila, Vanuatu",2024,12
2024-12-09 00:38:52.848000+00:00,50.8586,-177.443,10.0,6.1,mww,"126 km SSW of Adak, Alaska",2024,12
2024-12-09 00:15:30.691000+00:00,50.9985,-177.1779,19.0,6.3,mww,"104 km SSW of Adak, Alaska",2024,12
2024-12-08 19:57:08.602000+00:00,51.0018,-177.3278,18.0,6.3,mww,"108 km SSW of Adak, Alaska",2024,12
2024-12-05 18:44:21.110000+00:00,40.374,-125.02166666667,10.0,7.0,mw,"2024 Offshore Cape Mendocino, California Earthquake",2024,12
2024-11-26 13:47:03.411000+00:00,36.9549,136.3653,8.0,6.1,mww,"38 km WNW of Hakui, Japan",2024,11
2024-11-17 12:16:29.874000+00:00,29.0424,131.3968,8.0,6.1,mww,"156 km SSE of Koshima, Japan",2024,11
2024-11-15 05:28:30.650000+00:00,-4.7548,153.2923,56.0,6.6,mww,"122 km ESE of Kokopo, Papua New Guinea",2024,11
2024-11-10 16:49:50.426000+00:00,19.7974,-77.0506,14.0,6.8,mww,"42 km SSW of Bartolomé Masó, Cuba",2024,11
2024-11-08 11:38:00.376000+00:00,-46.7807,-75.6402,10.0,6.3,mww,"239 km WNW of Cochrane, Chile",2024,11
2024-10-30 20:15:20.095000+00:00,43.5842,-127.6418,10.0,6.0,mww,"267 km W of Bandon, Oregon",2024,10
2024-10-23 14:38:04.614000+00:00,49.394,155.6369,40.0,6.2,mww,"146 km SSW of Severo-Kuril’sk, Russia",2024,10
2024-10-16 07:46:32.516000+00:00,38.3115,38.8059,10.0,6.0,mww,"19 km W of Doğanyol, Turkey",2024,10
2024-10-12 17:43:44.516000+00:00,10.4967,-86.1497,16.0,6.2,mww,"40 km WNW of Tamarindo, Costa Rica",2024,10
2024-10-01 20:05:34.967000+00:00,-19.2886,-173.0007,10.0,6.6,mww,"125 km SE of Neiafu, Tonga",2024,10
2024-09-26 19:19:28.664000+00:00,-17.199,66.5336,10.0,6.3,mww,Mauritius - Reunion region,2024,9
2024-09-16 11:36:34.522000+00:00,17.1539,147.2254,31.0,6.3,mww,"266 km NE of Saipan, Northern Mariana Islands",2024,9
2024-09-15 22:22:48.018000+00:00,51.6088,-130.6121,3.766,6.5,mww,"271 km WNW of Port McNeill, Canada",2024,9
2024-09-11 16:46:05.054000+00:00,-3.2871,146.4088,8.0,6.3,mww,"168 km SW of Lorengau, Papua New Guinea",2024,9
2024-09-05 01:03:15.672000+00:00,-3.5428,144.1953,7.0,6.2,mww,"59 km NNE of Angoram, Papua New Guinea",2024,9
2024-09-01 20:13:34.201000+00:00,-6.8295,155.5297,39.0,6.4,mww,"56 km S of Panguna, Papua New Guinea",2024,9
2024-08-30 04:24:22.983000+00:00,53.0016,160.3787,26.0,6.0,mww,"117 km E of Petropavlovsk-Kamchatsky, Russia",2024,8
2024-08-28 21:57:54.957000+00:00,13.0471,-89.583,26.358,6.1,mww,"56 km SSW of La Libertad, El Salvador",2024,8
2024-08-17 19:10:26.820000+00:00,52.9308,160.1331,29.0,7.0,mww,"102 km E of Petropavlovsk-Kamchatsky, Russia",2024,8
2024-08-15 23:35:53.943000+00:00,23.7491,121.7669,14.0,6.1,mww,"30 km SSE of Hualien City, Taiwan",2024,8
2024-08-08 07:42:55.206000+00:00,31.7599,131.5021,24.0,7.1,mww,"2024 Hyuganada Sea, Japan Earthquake",2024,8
2024-08-03 04:20:26.565000+00:00,8.2038,126.8354,15.0,6.3,mww,"44 km E of Barcelona, Philippines",2024,8
2024-08-02 22:23:02.111000+00:00,8.1851,126.6161,32.0,6.8,mww,"20 km E of Barcelona, Philippines",2024,8
2024-07-29 13:07:11.966000+00:00,-20.3812,-173.9806,9.0,6.0,mww,"73 km SSE of Pangai, Tonga",2024,7
2024-07-22 05:04:27.743000+00:00,-15.5073,168.1241,4.0,6.1,mww,"99 km NE of Norsup, Vanuatu",2024,7
